metric,index,mean,std
accuracy (test),10,0.7244642469606206,0.08599758622793015
accuracy (test),11,0.7130255391756573,0.09476760004373959
accuracy (test),12,0.2605753973274218,0.12208420947786873
accuracy (test),13,0.44930506266321485,0.16559687780218782
accuracy (test),14,0.0,0.0
accuracy (test),15,0.0,0.0
accuracy (test),16,0.0017279571844625976,0.008814763941141127
precision (train),0,0.919910039976798,0.18192206955005244
precision (train),1,0.8644672227588266,0.17241522486505714
precision (train),2,0.8654143666303542,0.17222934092541176
precision (train),3,0.8872261855324769,0.17623569407428308
precision (train),4,0.9112304884133539,0.18030987403976334
precision (train),5,0.9999949106896882,2.186737332793773e-05
precision (train),6,0.9582224777288328,0.029909107645924388
precision (train),7,0.9811120256323729,0.018267524168879532
precision (train),8,0.9934264766511101,0.008753168785503819
precision (train),9,0.999013251165993,0.0020133932883906673
precision (train),10,1.0,0.0
precision (train),11,1.0,0.0
precision (train),12,0.4629814284145164,0.1357070061166335
precision (train),13,0.8285959247168875,0.06317415363153138
precision (train),14,0.0,0.0
precision (train),15,0.07358031798913593,0.049606599278615764
precision (train),16,0.07616504940141497,0.04579361275490647
precision (test),0,0.8254760477117895,0.1706669012889109
precision (test),1,0.8395483452013079,0.1684318324995216
precision (test),2,0.8311949053671547,0.16740956655394365
precision (test),3,0.8393110439051055,0.17004453614852014
precision (test),4,0.8344890242870378,0.17044640397631233
precision (test),5,0.8319457318850035,0.08005411772643535
precision (test),6,0.8768184561039547,0.058358436156646605
precision (test),7,0.8591045920542554,0.06821201217095238
precision (test),8,0.8434555078785709,0.07448709108558944
precision (test),9,0.8348463116803521,0.0793784755813943
precision (test),10,0.7984925556570586,0.06465597913555314
precision (test),11,0.7467757665804708,0.09360957289299378
precision (test),12,0.4576525020984912,0.1323788723324982
precision (test),13,0.8208180520833079,0.06283323192169181
precision (test),14,0.0,0.0
precision (test),15,0.07334855055068892,0.04910902813228742
precision (test),16,0.07716785211600218,0.04804613974114397
recall (train),0,0.8782973301757526,0.18026445989509998
recall (train),1,0.6197559013738942,0.1670573743364465
recall (train),2,0.7001627104491199,0.17503329707739268
recall (train),3,0.7683753238249711,0.17891172591188445
recall (train),4,0.8461701757392615,0.17868362751613984
recall (train),5,0.9999022181640398,0.00011088992644240722
recall (train),6,0.8382401851162071,0.10250368010209127
