metric,index,mean,std
recall (train),5,0.9606147182592748,0.07470696727287485
recall (train),6,0.8223065651898659,0.10713221973558679
recall (train),7,0.8946526729258656,0.08621031506711029
recall (train),8,0.9371284285520967,0.07728383527401075
recall (train),9,0.9566375008841544,0.07425374127221722
recall (train),10,0.9606271181187241,0.07470549153887598
recall (train),11,0.9605434073386553,0.07473844423414598
recall (train),12,0.5162838184047147,0.14377086470260725
recall (train),13,0.3349594925116405,0.13636626142962288
recall (train),14,0.05507782933955341,0.05952524095360968
recall (train),15,0.05428825739023609,0.060330979437271656
recall (train),16,0.06344732006510401,0.035491769808129264
recall (test),0,0.7508672081781755,0.12828012683027679
recall (test),1,0.7190367757781673,0.11610013763415954
recall (test),2,0.7336526062493827,0.11838944851064646
recall (test),3,0.7485279829046261,0.12118137052760904
recall (test),4,0.7565103252632985,0.12349525607469006
recall (test),5,0.7317498060002038,0.1404650745947615
recall (test),6,0.7293174586939644,0.12383877941049427
recall (test),7,0.7417958283230444,0.13003368319780176
recall (test),8,0.7366776607113092,0.13567785744594343
recall (test),9,0.7314277924369922,0.13933890131993282
recall (test),10,0.7263424851903585,0.13820587804817944
recall (test),11,0.6662979088665144,0.15198477106632913
recall (test),12,0.5118441041657831,0.14253398614984958
recall (test),13,0.32861098608326,0.1299094146753989
recall (test),14,0.055372796903848685,0.06339330512634478
recall (test),15,0.05284419395494469,0.05732127800431638
recall (test),16,0.06839030306858883,0.05252563213921533
f1 (train),0,0.9038005067137515,0.08609018954756993
f1 (train),1,0.7688498328196139,0.10997624157624199
f1 (train),2,0.7963660330375409,0.10917964252687727
f1 (train),3,0.8328921101450683,0.10830870294585807
f1 (train),4,0.8817817582786016,0.0959694521754956
f1 (train),5,0.9606147182592748,0.07470696727287485
f1 (train),6,0.8223065651898659,0.10713221973558679
f1 (train),7,0.8946526729258656,0.08621031506711029
f1 (train),8,0.9371284285520967,0.07728383527401075
f1 (train),9,0.9566375008841544,0.07425374127221722
f1 (train),10,0.9606271181187241,0.07470549153887598
f1 (train),11,0.9605434073386553,0.07473844423414598
f1 (train),12,0.5162838184047147,0.14377086470260725
f1 (train),13,0.3349594925116405,0.13636626142962288
f1 (train),14,0.05507782933955341,0.05952524095360968
f1 (train),15,0.05428825739023609,0.060330979437271656
f1 (train),16,0.06344732006510401,0.035491769808129264
f1 (test),0,0.7505475705450764,0.12761825135745472
f1 (test),1,0.7133016508757227,0.11984580652256878
f1 (test),2,0.7296713428050455,0.1213506256868256
f1 (test),3,0.745986805655868,0.12276960357682076
f1 (test),4,0.7557426260064322,0.12323462239795314
f1 (test),5,0.7320163569503734,0.13964738959808606
f1 (test),6,0.7259077588617541,0.12491418718863596
f1 (test),7,0.7407485380048499,0.1303061203652891
f1 (test),8,0.736581801469946,0.1350617331587494
f1 (test),9,0.7315391979874467,0.13853325280997475
f1 (test),10,0.7269293396372344,0.1376291007041918
f1 (test),11,0.6673043688790633,0.1515017673430227
f1 (test),12,0.48018045966167544,0.153807577134379
f1 (test),13,0.2451830616153497,0.14479038898918495
f1 (test),14,0.011929290226676747,0.026164652759956285
f1 (test),15,0.01053157192646115,0.01962629278956556
f1 (test),16,0.07642007892522013,0.05450397768638727
